,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
158,158,2020,November,Misungwi,Mondo,Maganzo,Nyanghonge,kisima cha kwa luhalamla,"Pond,permanent",kisima cha kwa luhalamla,Kisima cha kwa Luhalamla,033 ͦ11.429΄,1183,Normal,Rainy,Bulinus,149,0,0,2,113,1,33,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
159,159,2020,November,Misungwi,Mondo,Maganzo,Nyanghonge,nyanghonge,"pond,Temporary",kisima cha soleya,Kisima cha Suleya,033 ͦ11.982΄,1160,Normal,Rainy,"Bulinus,Forskalii",204,0,0,0,0,26,168,10,0,1,25-Nov-20,28/11/2020,24-Nov-20,Schistosoma hematobium ,0,0,0,0,0,1,0,0,1
160,160,2020,December,Misungwi,Mondo,Maganzo,Maganzo,Kisima cha suswa,"pond,Temporary",Kisima cha suswa,Kisima cha Suswa,033 ͦ12.108΄,1161,Normal,Rainy,"Bulinus,pila",85,0,0,0,1,3,20,61,0,0,25-Nov-20,28/11/2020,24-Nov-20,,0,0,0,0,0,0,0,0,0
161,161,2020,December,Misungwi,Kanyelele,Gambajiga,bujingwa,kwa milembe bulandi,Dam,lambo la nzengo,Lambo la Nzengo,033 ͦ10.096΄,1206,Normal,Rainy,bulinus,58,0,0,4,23,9,16,6,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
162,162,2020,december,Misungwi,kanyelele,Gambajiga,isanzu,kwa wanzile igulyati,"pond, permanent",kisima cha mwalyanda,Kisima cha Mwalyanda,033 ͦ08.778',1263,Normal,Rainy,"bulinus.biomphalaria, lymneae",87,0,6,46,21,13,1,0,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
163,163,2020,december,Misungwi,kanyelele,Gambajiga,isanzu,kwa kulwa lutilisha,"dam,permanent",lambo la ng'wamanonga,Lambo la Ng'wamanonga,033 ͦ08.783',1266,Normal,Rainy,"bulinus, biompharia",13,0,0,5,8,0,0,0,0,2,19-Dec-20,21/12/2020,18-Dec-20,Schistosoma hematobium ,0,0,0,2,0,0,0,0,2
164,164,2020,december,Misungwi,kanyelele,Gambajiga,ilangashika,joshoni,"dam,permanent",bwawa la galaya,Bwawa la Galaya,033 ͦ09.735',1240,Normal,Rainy,bulinus,22,0,0,0,14,3,4,1,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
165,165,2020,december,Misungwi,kanyelele,Gambajiga,iguma,lambo la mwasubi,"dam, permanet",kwa butawantem,Lambo la Butawantemi,033 ͦ09.716',1232,Normal,Rainy,bulinus,18,0,1,11,5,1,0,0,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
166,166,2020,December,Misungwi,Kanyelele,Gambajiga,bujingwa,kwa jeremia njirima,"Dam,Temporary",lambo la ng'wagundula,Lambo la Ng'wagundula,033 ͦ10.297΄,1211,Normal,Rainy,bulinus,7,0,0,0,5,2,0,0,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
167,167,2020,December,Misungwi,Kanyelele,Gambajiga,lugulu,kwa buchama,"Dam,permanent",lambo la buchama,Lambo la Buchama,033 ͦ08.627΄,1256,Normal,Rainy,"Bulinus,lymneae,Pila",4,0,0,0,0,1,3,0,0,0,19-Dec-20,21/12/2020,18-Dec-20,,0,0,0,0,0,0,0,0,0
168,168,2020,December,Misungwi,Igokelo,Busolwa,Nyada,kwachristopher nyanda,Pond,lambo la christopher nyanda,Lambo la Christopher Nyanda,033 ͦ00.835΄,1180,Normal,Rainy,Bulinus,72,0,0,7,33,30,2,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
169,169,2020,December,Misungwi,Igokelo,Busolwa,bujingwa,kwa kulwa,Pond,kisima/lambo la ng'wakabisu,Kisima/Lambo la Ng'wakabisu,033 ͦ01.130΄,1161,Normal,Rainy,Bulinus,5,0,0,0,0,2,3,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
170,170,2020,December,Misungwi,Igokelo,Iteja,kabila,kwa nyandoloja,Pond,lambo la nyandoloja,Lambo la Nyandoloja,033.11144 ͦ,1150,Normal,Rainy,Bulinus,208,0,0,25,66,111,6,0,0,0,20-Dec-20,12/22/20,19-Dec-20,,0,0,0,0,0,0,0,0,0
171,171,2020,December,Misungwi,Igokelo,Iteja,Iteja,kwa mwalimu ngole,Pond,kisima cha mwalimu ngole,Kisima cha Mwalimu Ngole,033.12158 ͦ,1182,Normal,Rainy,Bulinus,20,0,0,1,2,14,3,0,0,0,20-Dec-20,12/22/20,19-Dec-20,,0,0,0,0,0,0,0,0,0
172,172,2020,December,Misungwi,Igokelo,Iteja,bugunga,kwa ng'wanongu,Pond,kisima cha ng'wanongu,Kisima cha Ng'wanongu,033.12980 ͦ,1170,Normal,Rainy,Bulinus,3,0,0,0,1,2,0,0,0,0,20-Dec-20,12/22/20,19-Dec-20,,0,0,0,0,0,0,0,0,0
173,173,2020,December,Misungwi,Igokelo,Iteja,Iteja,kwa paulo mashikuba,Pond,kisima cha paulo mashikuba,Kisima cha Paulo Mashikuba,033.12142 ͦ,1188,Normal,Rainy,Bulinus,3,0,0,0,3,0,0,0,0,0,20-Dec-20,12/22/20,19-Dec-20,,0,0,0,0,0,0,0,0,0
174,174,2020,December,Misungwi,Igokelo,Mbela,mbela D,kwa hehela,Pond,kisima cha hehela,Kisima cha Hehela,033.07156 ͦ,1217,Normal,Rainy,Bulinus,20,0,4,1,3,11,1,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
175,175,2020,December,Misungwi,Igokelo,Mbela,mbela secondary,kwa mapuli,Pond,kisima cha mapuli,Kisima cha Mapuli,033.07957 ͦ,1240,Normal,Rainy,Bulinus,1,0,0,0,0,1,0,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
176,176,2020,December,Misungwi,Igokelo,Mbela,misiri,kwa zakim,Pond,lambo la zakim,Lambo la Zakim,033.08583 ͦ,1197,Normal,Rainy,Bulinus,38,0,0,5,21,12,0,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
177,177,2020,December,Misungwi,Igokelo,Mbela,mbela secondary,kwa dalali,Pond,lambo la dalali,Lambo la Dalali,033.07992 ͦ,1238,Normal,Rainy,Bulinus,20,0,1,2,9,6,2,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
178,178,2020,December,Misungwi,Igokelo,Mbela,mbela C,kwa john mahugija,Pond,kisima/lambo la john mahugija,Kisima/Lambo John Mahugija,033.08374 ͦ,1239,Normal,Rainy,Bulinus,11,0,0,1,4,6,0,0,0,1,21-Dec-20,12/23/20,20-Dec-20,Schistosoma hematobium ,0,0,0,0,1,0,0,0,1
179,179,2020,December,Misungwi,Igokelo,Mbela,mbela  B,kwa mama neema,Pond,lambo la kwa mama neema,Lambo la kwa Mama Neema,033.07857 ͦ,1192,Normal,Rainy,Bulinus,24,0,0,0,0,1,22,1,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
180,180,2020,December,Misungwi,Igokelo,Mbela,mbela D,kwa kasekele,Pond,kisima cha kasekele,Kisima cha Kasekele,033.07527 ͦ,1224,Normal,Rainy,Bulinus,40,0,0,0,9,24,7,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
181,181,2020,December,Misungwi,Igokelo,Mbela,misiri,kwa azizi salum,Pond,lambo la azizi salum,Lambo la Azizi Salum,033.08700 ͦ,1196,Normal,Rainy,Bulinus,15,0,0,0,0,2,4,9,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
182,182,2020,December,Misungwi,Igokelo,Nange,sanjo,kwa mwamagubo,Pond,lambo la mwamagubo,Lambio la Mwamagubo,033.06030 ͦ,1203,Normal,Rainy,Bulinus,38,0,0,0,9,11,18,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
183,183,2020,December,Misungwi,Igokelo,Nange,Itende,kwa mwela site 2,Pond,kisima cha mwela,Kisima cha Mwela,033.01403 ͦ,1148,low,Rainy,Bulinus,30,0,0,0,4,26,0,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
184,184,2020,December,Misungwi,Igokelo,Nange,mbashi,lambo la TASAF,Pond,lambo la TASAF,Lambio la TASAF,033.05364 ͦ,1170,Normal,Rainy,Bulinus,7,0,0,7,0,0,0,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
185,185,2020,December,Misungwi,Igokelo,Nange,sanjo,kwa mtemi,Pond,lambo la mtemi,Lambo la Mtemi,033.04969 ͦ,1175,Low,Rainy,Bulinus,8,0,0,0,2,1,5,0,0,0,22-Dec-20,12/24/20,21-Dec-20,,0,0,0,0,0,0,0,0,0
186,186,2020,december,Misungwi,kanyelele,Kanyelele,wiyogolo,Lambo la mg'wamaduka,"pond, temporary",Lambo la mg'wamaduka,Lambo la Ng'wamaduka,033 ͦ07.144',1244,low,Rainy,bulinus,40,0,0,3,6,10,21,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
187,187,2020,December,Misungwi,Kanyelele,Kanyelele,ishima,ishima,"Dam, tenporary",lambo la kwa makana,Lambo la kwa Makana,033 ͦ06.391΄,1224,Normal,Rainy,bulinus,26,0,0,0,3,10,9,4,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
188,188,2020,December,Misungwi,Kanyelele,Kanyelele,wiyogolo,wiyogolo,"pond,permanent",lambo la ilende 2,Lambo la Ilende 2,033 ͦ06.777΄,1245,Flooded,Rainy,bulinus,117,0,0,0,13,89,15,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
189,189,2020,December,Misungwi,Kanyelele,Kanyelele,ng'hwamba,kanyelele,"Dam,permanent",lambo la kanyelele,Lambo la Kanyelele,033 ͦ05.996΄,1228,low,Rainy,bulinus,53,0,0,0,0,10,13,26,4,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
191,191,2020,December,Misungwi,Kanyelele,Kanyelele,igando,igando,"pond, temporary",kisima cha ng'waluge,Kisima cha Ng'waluge,033 ͦ05.308΄,1174,Normal,Rainy,bulinus,6,0,0,0,3,3,0,0,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
192,192,2020,December,Misungwi,Kanyelele,Kanyelele,matego A,mitego A,"pond, permanent",kisima cha ng'wamasune,kisima cha Ng'wamasune,033 ͦ06.757΄,1227,Normal,Rainy,bulinus,18,0,0,1,3,6,6,2,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
194,194,2020,December,Misungwi,Kanyelele,Kanyelele,Wiyogolo,kwa ng'wakakale,"Dam,Temporary",Lambo la ng'wakakale,Lambo la Ng'wamakale,033 ͦ07.262΄,1240,Normal,Rainy,Bulinus,54,0,0,1,13,23,17,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
195,195,2020,December,Misungwi,Kanyelele,Kanyelele,Malilo,Buyola,"pond,Temporary",Lambo la Buyola,Lambo la Buyola,033 ͦ06.363΄,1215,Normal,Rainy,Bulinus,5,0,0,0,2,3,0,0,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
196,196,2020,December,Misungwi,Kanyelele,Kanyelele,Malilo,ng'wamahumbi,"pond,Temporary",Lambo la ng'wamahumbi,Lambo la Ng'wamahumbi,033 ͦ06.072΄,1212,Normal,Rainy,Bulinus,99,0,0,0,0,87,12,0,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
197,197,2020,December,Misungwi,Kanyelele,Kanyelele,nkola,nkola,"pond,Temporary",kisima cha ng'wanyilila,Kisima cha Ng'wanyilila,033 ͦ16.027΄,1229,Normal,Rainy,"bulinus, forskalii",27,0,0,1,4,20,2,0,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
198,198,2020,December,Misungwi,Kanyelele,Kanyelele,mitego A,kisima cha ibhingo,"pond,Temporary",kisima cha ibhingo,Kisima cha Ibhingo,033 ͦ05.859΄,1223,Normal,Rainy,bulinnus,116,0,0,0,0,1,5,110,0,0,2-Dec-20,4/12/20,1-Dec-20,,0,0,0,0,0,0,0,0,0
200,200,2020,december,Misungwi,kanyerere,Mwakalima,Ng'wakalima,lambo la mlyomi,"Dam, permanet",lambo la mlyomi,Lambo la Mlyomi,033 ͦ08.714',1223,Normal,Rainy,bulinus,78,0,0,0,43,35,0,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
201,201,2020,december,Misungwi,kanyelele,Mwakalima,Ng'wakalima,kisima cha kwa daniel,"pond, permanent",kisima cha kwa daniel,Kisima cha kwa Daniel,033 ͦ08.787',1217,Normal,Rainy,"bulinus, lymnaeae",13,0,0,0,0,11,2,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
202,202,2020,december,Misungwi,kanyelele,Mwakalima,Ng'wakalima,lambo la njegele,"Dam, permanet",lambo la njegele,Lambo la Njegele,033 ͦ08.579',1228,Normal,Rainy,"bulinus, lymnaeae, pila",11,0,2,7,0,2,0,0,0,1,1-Dec-20,3/12/20,30-Nov-20,Schistosoma hematobium ,0,0,0,0,1,0,0,0,1
203,203,2020,November,Misungwi,kanyelele,Mwakalima,sumbuka B,kisima cha kuli,"pond, permanent",kisima cha kuli,Kisima cha Kuli,033 ͦ07.753',1237,Normal,Rainy,Bulinus,25,0,0,0,6,10,8,1,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
204,204,2020,December,Misungwi,kanyelele,Mwakalima,nyang'homango,kisima cha kwa maganga,"pond, temporary",kisima cha kwa maganga,Kisima cha kwa Maganga,033 ͦ09.402',1243,flooded,Rainy,"bulinus, lymneae, pila",9,0,0,0,0,9,0,0,0,0,1-Dec-20,3/12/20,30-Nov-20,,0,0,0,0,0,0,0,0,0
205,205,2020, november,Misungwi,kanyelele,Mwakalima,ng'oma,kisima cha kihamba,"pond, permanent",kisima cha kihamba,Kisima cha Kihamba,033 ͦ07.370',1217,Normal,Rainy,"bulinus,forskalii",43,0,0,0,3,18,21,1,NA,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
206,206,2020,november,Misungwi,kanyelele,Mwakalima,malla,kisimani kwa nyasato,"pond,temporary",kisimani kwa nyasato,Kisimani kwa Nyasato,033 ͦ07.683',1232,Normal,Rainy,bulinus,135,0,0,0,33,56,46,0,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
207,207,2020,December,Misungwi,kanyelele,Mwakalima,malla,lambo la gatuba,"ponf, temporary",lambo la gatuba,Lambo la Gatuba,033 ͦ07.762',1235,Normal,Rainy,bulinus,13,0,1,0,5,6,1,0,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
208,208,2020,november,Misungwi,kanyelele,Mwakalima,ng'oma,lambo la ng'wamakole,"pond,temporary",lambo la ng'wamakole,Lambo la Ng'wamakole(Ng'wamakomelo),033 ͦ07.085',1221,Normal,Rainy,"bulinus, bulinus forskalii",58,0,0,0,0,21,27,7,3,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
209,209,2020,november,Misungwi,kanyelele,Mwakalima,ng'wasumbuya,kisima la luvogo,"pond,permanent",kisima la luvogo,Kisima cha Luvogo,033 ͦ06.844',1215,Normal,Rainy,bulinus,24,0,0,0,2,18,3,1,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
210,210,2020,november,Misungwi,kanyelele,Mwakalima,ng'wasumbuya,kisima cha juma,"pond, temporary",kisima cha juma,Kisima cha Juma,033 ͦ06.516',1205,Normal,Rainy,bulinus,25,0,0,7,9,5,4,NA,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
211,211,2020,november,Misungwi,kanyelele,Mwakalima,sumbuka A,kisima cha ng'waya,"pond,permanent",kisima cha ng'waya,Kisima cha Ng'waya,033 ͦ08.267',1243,Normal,Rainy, bulinus,58,0,0,14,17,0,27,0,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
212,212,2020,November,Misungwi,kanyelele,Mwakalima,sumbuka A,kisima cha magigo,"pond,temporary",kisima cha magigo,Kisima cha Magigo,033 ͦ08.556',1236,Normal,Rainy,"bulinus, lymnaeae,pila",67,0,0,0,1,3,41,22,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
213,213,2020,November,Misungwi,kanyelele,Mwakalima,sumbuka A,lambo la maneno,"pond, temporary",lambo la maneno,Lambo la Maneno,033 ͦ07.884',1242,Normal,Rainy,"bulinus, forsikalii",7,0,0,0,3,2,2,0,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
214,214,2020,November,Misungwi,kanyelele,Mwakalima,sumbuka A,lamo la mikola,"pond, permanent",lamo la mikola,Lambo la Mikola,033 ͦ08.518',1254,Normal,Rainy,bulinus,12,0,0,0,3,6,3,0,0,0,30-Nov-20,2/12/20,29-Nov-20,,0,0,0,0,0,0,0,0,0
215,215,2020,December,Misungwi,Mondo,Ntulya,mwalubandwa,kwa james dandu,"Dam,permanent",Bwawa la TASAF,Bwawa la TASAF,033 ͦ16.465΄,1185,Normal,Rainy,"Bulinus,pila",31,0,0,5,6,0,20,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
216,216,2020,December,Misungwi,Mondo,Ntulya,Bugolo,Kwa eliasi katwiga,"pond,Temporary",Lambo la idubya,Lambo la Idubya,033 ͦ16.010΄,1222,Normal,Rainy,"Bulinu,Lymneae",88,0,0,0,10,42,26,10,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
217,217,2020,December,Misungwi,Mondo,Ntulya,Ipandwa,Kwa kawenga kamuli,"pond,permanent",Lambo la nkola,Lambo la Nkola,033 ͦ15.464΄,1194,Normal,Rainy,Bulinus,33,0,0,0,1,15,17,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
218,218,2020,December,Misungwi,Mondo,Ntulya,Ipandwa,kwa lyaja mbuzuga,"pond,permanent",Lambo la lyaga mbuzuga,Lambo la Lyaja Mbuzunga,033 ͦ15.598΄,1213,Normal,Rainy,"Bulinus,pila",61,0,0,2,0,37,20,0,2,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
219,219,2020,December,Misungwi,Mondo,Ntulya,pandagishiza,kwa mwanalugata,pond Permanent,Kisima cha mwanalugata,Kisima cha Mwanalugata,033 ͦ16.369΄,1212,Normal,Rainy,Bulinus,22,0,0,0,0,6,14,2,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
220,220,2020,December,Misungwi,Mondo,Ntulya,Bugolo,kwa paulo nghong'o,"pond,permanent",Lambo la Paulo Nghong'o,Lambo la Paulo Nghong'o,033 ͦ16.297΄,1209,Normal,Rainy,Bulinus,114,0,0,94,13,6,1,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
221,221,2020,December,Misungwi,Mondo,Ntulya,mwabomba,kwa marko mchimwa,"River,permanent",Mto wa marko mchimwa,Mto wa Marko Mchimwa,033 ͦ16.381΄,1166,Normal,Rainy,"Biompalaria,Bulinus",64,0,0,2,15,43,4,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
222,222,2020,December,Misungwi,Mondo,Ntulya,Pandagichiza,kwa nyanda yanyecha,"pond,permanent",Kisima cha Nyanda Yanyecha,Kisima cha Nyanda Yanyecha,033 ͦ16.328΄,1208,Normal,Rainy,Bulinus,2,0,0,0,2,0,0,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
223,223,2020,December,Misungwi,Mondo,Ntulya,Bugolo,kwa mzee kasibu mpuya,"pond,permanent",lambo la mzee kasibu mpuya,Lambo la Mzee Kasibu Mpuya,033 ͦ16.144΄,1217,Normal,Rainy,"Bulinus,pila",1,0,0,0,0,1,0,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
224,224,2020,December,Misungwi,Mondo,Ntulya,Ntulya,bustanini kwa defa,"River,permanent",mto chanzo,Mto Chanzo,033 ͦ17.192΄,1169,Normal,Rainy,"Bulinus,lymneae,Pila",6,0,0,2,2,1,1,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
225,225,2020,December,Misungwi,Bulemeji,Ngudama,ng'wanzela,kwa suluba,"Pond,Temporary",kisima cha madaha,Kisima cha Madaha,033 ͦ00.750΄,1213,Normal,Rainy,"Bulinus,pila, forskali",83,0,0,6,27,50,0,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
226,226,2020,December,Misungwi,Bulemeji,Ngudama,ngudama,kwa ng'ogashinge,"Pond,Temporary",kisima cha mbiti,Kisima cha Mbiti,033 ͦ59.602΄,1206,Normal,Rainy,"Bulinus,pila,forskali",46,0,0,20,16,3,3,4,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
227,227,2020,December,Misungwi,Bulemeji,Ngudama,bujingwa,kwa felician shingashinga,"Pond,Temporary",kisima cha ng'wandomele kaswahili,Kisima cha Ng'wandomele Kaswahili,033 ͦ59.224΄,1167,Normal,Rainy,"Bulinus,pila,forskali",115,0,4,36,45,30,0,0,0,5,20-Dec-20,22/12/2020,19-Dec-20,Schistosoma hematobium,0,0,1,0,3,1,0,0,5
228,228,2020,December,Misungwi,Bulemeji,Ngudama,bujingwa,kwa mhana,"Pond,Temporary",lambo la mhana,Lambo la Mhana,033 ͦ59.049΄,1205,Normal,Rainy,"Bulinus,pila,forskali",12,0,0,0,1,11,0,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
229,229,2020,December,Misungwi,Bulemeji,Ngudama,bujingwa,kwa mhana,"Pond,Temporary",kisima cha garani,Kisima cha Garani,033 ͦ59.422΄,1209,Normal,Rainy,"Bulinus,forskali",15,0,0,4,8,0,3,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
230,230,2020,December,Misungwi,Bulemeji,Ngudama,bujingwa,kwa mhana kitogwa,"Pond,Temporary",kisima cha nkando,Kisima cha Nkando,032 ͦ58.826΄,1193,Normal,Rainy,"Bulinus,lymneae,pila",17,0,0,2,7,7,0,1,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
231,231,2020,December,Misungwi,Bulemeji,Ngudama,bujingwa,kwa seya mlele,"Pond,Temporary",lambo la ng'wamhabi,Lambo la Ng'wamhabi,033 ͦ58.574΄,1189,Normal,Rainy,Bulinus,20,0,0,4,10,6,0,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
232,232,2020,December,Misungwi,Bulemeji,Ngudama,ibelambasa,kwa lunilija nzila,"Pond,permanent",kisima cha ng'wamhabi,Kisima cha Ng'wamhabi,032 ͦ58.570΄,1188,Normal,Rainy,"Bulinus,biomphalaria",25,0,4,1,9,9,2,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
233,233,2020,December,Misungwi,Bulemeji,Ngudama,ibelambasa,kwa felician shingashinga,"Dam,Temporary",lambo la ng'wandomele kaswahili,Lambo la Ng'wandomele Kaswahili,033 ͦ59.187΄,1201,Normal,Rainy,"Bulinus,pila",7,0,0,2,0,3,1,1,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
234,234,2020,December,Misungwi,Bulemeji,Ngudama,ibelambasa,kwa patric peter,"Pond,Temporary",kisima cha peter,Kisima cha Peter,033 ͦ59.086΄,1191,Normal,Rainy,Bulinus,2,0,0,0,0,0,2,0,0,0,20-Dec-20,22/12/2020,19-Dec-20,,0,0,0,0,0,0,0,0,0
235,235,2020,December,Sengerema,Busisi,Busisi,Busekwanoni,Busekwanoni,Pond,Kisima cha busekwanoni,Kisima cha Busekwanoni,032 ͦ51.240΄,1160,Normal,Rainy,"Bulinus,Lymneae and Pila",17,0,5,4,4,4,0,0,0,0,6-Dec-20,12/9/20,5-Dec-20,,0,0,0,0,0,0,0,0,0
236,236,2020,December,Sengerema,Busisi,Busisi,mkomba jineri,Mkomba jineri,Pond,Kisima cha mkomba jineri,Kisima cha Mkomba Jineri,032 ͦ50.014΄,1148,Normal,Rainy,Bulinus and Pila,21,0,14,5,1,1,0,0,0,0,6-Dec-20,12/9/20,5-Dec-20,,0,0,0,0,0,0,0,0,0
237,237,2020,December,Sengerema,Busisi,Nyamasale,mabondeni,mabondeni,Pond,kisima cha luzinza budelele,Kisima cha Lubinza Budelele,032 ͦ48.967΄,1167,Normal,Rainy,Bulinus,37,0,0,10,13,14,0,0,0,0,6-Dec-20,12/9/20,5-Dec-20,,0,0,0,0,0,0,0,0,0
238,238,2020,December,Sengerema,Busisi,Nyamasale,Dodoma,Dodoma,Pond,kisimani kwa Ngologolo,Kisima kwa Ngologolo,032 ͦ50.324΄,1219,Normal,Rainy,Bulinus,198,0,0,8,50,122,13,5,0,0,5-Dec-20,12/7/20,4-Dec-20,,0,0,0,0,0,0,0,0,0
239,239,2020,December,Sengerema,Busisi,Nyamasale,itoba,itoba,Pond,kisima/lambo la malole budelele site 2,Kisima/Lambo la Malole Budelel Site 2,032 ͦ49.136΄,1177,Normal,Rainy,Bulinus ,15,0,0,0,1,7,7,0,0,0,5-Dec-20,12/7/20,4-Dec-20,,0,0,0,0,0,0,0,0,0
240,240,2020,December,Sengerema,Busisi,Nyamasale,itoba,itoba,Pond,kisima cha malole budelele site 1,Kisima cha Malole Budelel Site 1,032 ͦ49.398΄,1175,Normal,Rainy,Bulinus,2,0,0,0,1,1,0,0,0,0,5-Dec-20,12/7/20,4-Dec-20,,0,0,0,0,0,0,0,0,0
241,241,2020,December,Sengerema,Buyagu,Isole,mikolani,mikolani,Pond,lambo la paulo lupama,Lambo la Paul Lupama,032 ͦ43.733΄,1169,Normal,Rainy,Bulinus and Pila,37,0,0,5,16,11,5,0,0,1,14-Dec-20,12/15/20,13-Dec-20,Schistosoma haematobium,0,0,0,0,1,0,0,0,1
