,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
53,53,2020,November,Misungwi,Kolomije,Ibongoya A,Chamhela ,Kwa luhala,pond,Kisima cha luhala,Kisima cha Luhala,033 ͦ10.799',1224,Normal,Rainy,Biomphalalia and Bulinus,20,0,0,10,6,3,1,0,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
54,54,2020,November,Misungwi,Kolomije,Ibongoya A,Muya,kwa mchele,Dam,Kisima cha kwa mchele,Kisima cha kwa Mchele,033 ͦ09.221',1292,Normal,Rainy,"Bulinus, Pila and Lymneae",18,0,0,4,1,3,4,6,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
55,55,2020,November,Misungwi,Kolomije,Ibongoya A,Kitongo,Kwa philipo lulyeho,pond,Lambo la philipo lulyeho,Lambo la Philipo Lulyeho,033 ͦ09.076',1298,Normal,Rainy,Bulinus and Lymneae,18,0,0,0,0,5,7,6,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
56,56,2020,November,Misungwi,Kolomije,Ibongoya A,Kitongo,Kwa ng'wantondope,Dam,Kisima cha ng'wantondope,Kisima cha Ng'wantondope,033 ͦ09.112',1293,Normal,Rainy,Bulinus,24,0,0,0,0,23,1,0,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
57,57,2020,November,Misungwi,Kolomije,Ibongoya A,Kitangili,Kwa ng'wakasumba,Dam,Kisima cha ng'wakasumba,Kisima cha Ng'wakasumba,033 ͦ09.804',1277,Normal,Rainy,Bulinus,26,0,0,0,3,8,10,5,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
58,58,2020,November,Misungwi,Kolomije,Ibongoya A,Kitangili,Kwa ng'wakasumba,pond,Lambo la ng'wakasumba,Lambo la Ng'wakasumba,033 ͦ09.792',1277,Normal,Rainy,Bulinus,26,0,0,0,3,8,10,5,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
59,59,2020,November,Misungwi,Kolomije,Ibongoya A,Mwakabuli,Mwakabuli,pond,Kisima cha relini,Kisima cha Relini,033 ͦ08.494',1291,Normal,Rainy,Bulinus and Lymneae,14,0,0,0,6,8,0,0,0,0,22-Nov-20,25/11/2020,21-Nov-20,,0,0,0,0,0,0,0,0,0
60,60,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,Kwa ndiganya,pond,kisima cha kwa ndiganya,kisima cha kwa Ndiganya,033 ͦ01.268',1171,Normal,Rainy,Bulinus and pila,195,0,116,72,7,0,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
61,61,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,kisima cha g'wamawa,pond,Kisima cha g'wamawa,Kisima cha Ng'wamawa,033 ͦ00.844',1187,Normal,Rainy,Bulinus,10,0,0,3,7,0,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
62,62,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,Kwa lufilisha,pond,Kisima cha kwa lufilisha,Kisima cha kwa Lufilisha,033 ͦ00.556',1200,Normal,Rainy,Bulinus and pila,84,0,0,0,4,51,29,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
